endtime,artist,track,msplayed
2022-07-19 17:09,Draws in Spanish |  Conversations with Latinx Visual Artists and Designers,"05: Mexican & Irish-American Illustrator and Author, Molly Mendoza",0
2022-07-19 17:09,Draws in Spanish |  Conversations with Latinx Visual Artists and Designers,"04: Venezuelan Illustrator, Natali Koromoto Martinez",919054
2022-07-19 19:38,Draws in Spanish |  Conversations with Latinx Visual Artists and Designers,18: Colombian Illustrator Natalia Cardona Puerta,2577994
2022-07-26 14:03,Questlove Supreme,QLS Classic: Desus & Mero Pt. 1,2093671
2022-07-27 13:26,Questlove Supreme,QLS Classic: Desus & Mero Pt. 1,4273991
2022-07-27 13:26,Questlove Supreme,Ne-Yo,4510
2022-07-27 19:52,Questlove Supreme,QLS Classic: Desus & Mero Pt. 2,3034992
2022-07-28 02:12,Questlove Supreme,QLS Classic: Desus & Mero Pt. 2,2065522
2022-07-28 02:12,Questlove Supreme,Danyel Smith,0
2022-10-14 03:10,Normal Gossip,"S1 Ep6: Nemesis by Proxy, with Delia Cai",0
2022-10-14 03:10,Normal Gossip,"S1 Ep5: Leave ‘em a Little Bit Broke, a Little Bit Mad with Laci Mosley",3447545
2022-10-14 03:21,Normal Gossip,S1 Ep1: Gossiptonin with Virgie Tovar,611425
2022-10-14 17:27,Normal Gossip,S1 Ep1: Gossiptonin with Virgie Tovar,1080954
2022-10-15 14:36,Normal Gossip,S1 Ep1: Gossiptonin with Virgie Tovar,88755
2022-10-31 23:34,The Sum of Us,Why Can’t We Have Nice Things?,386363
2022-11-01 00:04,The Sum of Us,Why Can’t We Have Nice Things?,992693
2022-11-01 00:57,The Sum of Us,"Memphis, TN: The Sweetest Water In The World",2580023
2022-11-01 02:12,The Sum of Us,"Orlando, FL: The Land of Second Chances",2962822
2022-11-01 02:51,The Sum of Us,"Kansas City, MO: Flipping Burgers",2283925
2022-11-01 03:45,The Sum of Us,"Lewiston, ME: A New Crop",530705
2022-11-25 13:08,Entiende Tu Mente,"Ser ""demasiado"" racional | 225",30160
2022-11-25 13:19,Entiende Tu Mente,"Ser ""demasiado"" racional | 225",530840
2022-11-26 16:06,Entiende Tu Mente,"Ser ""demasiado"" racional | 225",731075
2022-11-26 16:45,Entiende Tu Mente,Comenzar una relación sin perder tus espacios | 226,737068
